# index, id, female, _pos
230,297,0,"array([10.2013188 ,  8.24126822])"
231,299,0,"array([9.95828384, 9.40244259])"
232,300,0,"array([9.59955118, 8.98006235])"
233,301,0,"array([9.66471888, 9.04559949])"
234,304,0,"array([9.64561083, 7.32431358])"
235,306,0,"array([13.45990838,  7.90413487])"
236,308,0,"array([9.55041693, 8.76272031])"
237,310,0,"array([11.51083682, 11.64356764])"
238,311,0,"array([9.70073446, 9.53804854])"
239,312,0,"array([9.61290123, 7.79898078])"
240,314,0,"array([10.94428908,  7.12307055])"
241,315,0,"array([9.93123385, 8.11494118])"
242,317,0,"array([8.86432174, 7.50947361])"
243,321,0,"array([13.2634347 , 10.43784259])"
244,322,0,"array([13.23671254, 10.37396036])"
245,323,0,"array([ 7.60089588, 11.86963794])"
246,324,0,"array([10.03576274,  8.45435733])"
247,325,0,"array([12.25775299,  5.6563134 ])"
248,326,0,"array([9.67024149, 9.64550009])"
249,327,0,"array([11.65219866,  8.21571555])"
250,330,0,"array([10.2765167 ,  7.37131595])"
251,331,0,"array([8.54299395, 8.95323923])"
252,332,0,"array([10.38906878, 10.71646743])"
253,333,0,"array([10.42889886,  9.00742948])"
254,334,0,"array([14.17867084,  9.50058011])"
255,335,0,"array([8.84586197, 7.86243284])"
256,336,0,"array([8.1963705 , 7.36310715])"
257,337,0,"array([7.98212414, 8.8964593 ])"
258,339,0,"array([10.62912385,  9.47618883])"
259,340,0,"array([9.95877006, 5.04150881])"
260,341,0,"array([12.71590203,  6.86358611])"
261,342,0,"array([9.11545832, 8.56379202])"
262,344,0,"array([9.83650508, 9.03004689])"
263,345,0,"array([14.0491474 ,  8.61756631])"
264,348,0,"array([9.57824087, 9.48207926])"
265,350,0,"array([10.253645  ,  9.86747897])"
266,351,0,"array([8.40393837, 7.50424377])"
267,352,0,"array([ 9.2855917 , 10.34115141])"
268,354,0,"array([9.64890186, 9.29142972])"
269,355,0,"array([6.18494599, 7.66123537])"
270,356,0,"array([ 9.75143123, 10.05355555])"
271,357,0,"array([9.46836461, 8.57459646])"
272,358,0,"array([9.86286052, 8.26845398])"
273,359,0,"array([10.32961833,  9.31615145])"
274,360,0,"array([11.55444444,  5.10832319])"
275,361,0,"array([14.03756129,  7.74111884])"
276,362,0,"array([8.57958668, 4.56238979])"
277,363,0,"array([ 8.72992632, 10.11752102])"
278,364,0,"array([9.00655966, 6.62898342])"
279,365,0,"array([9.37173025, 9.77428473])"
280,366,0,"array([9.319444  , 9.90264591])"
281,367,0,"array([8.2388463 , 7.64666537])"
282,368,0,"array([10.98458064,  7.98317975])"
283,370,0,"array([9.81291812, 9.44133407])"
284,371,0,"array([9.65731607, 8.85444741])"
285,372,0,"array([9.21336373, 8.71410484])"
286,373,0,"array([9.55204388, 8.87861471])"
287,374,0,"array([10.11813696,  8.30033075])"
288,376,0,"array([7.71386389, 4.15048213])"
289,378,0,"array([9.59619527, 8.67832134])"
290,379,0,"array([10.70988175,  9.51883611])"
291,380,0,"array([13.97009963,  6.90853654])"
292,381,0,"array([10.35364171,  8.92041925])"
293,382,0,"array([9.12420262, 9.1584293 ])"
294,383,0,"array([10.28406304,  7.56539028])"
295,386,0,"array([11.28502451,  7.70507459])"
296,388,0,"array([8.24808973, 9.53947067])"
297,389,0,"array([9.85050138, 7.30755505])"
298,390,0,"array([8.84066031, 9.99160415])"
299,391,0,"array([10.99883733,  7.85383512])"
300,392,0,"array([ 7.49404498, 11.80158091])"
301,393,0,"array([10.23736361,  7.84668064])"
302,394,0,"array([11.26027017,  8.00117833])"
303,395,0,"array([9.92542607, 8.2587058 ])"
304,396,0,"array([10.68299288,  9.21513614])"
305,397,0,"array([13.32825908,  6.08449785])"
306,399,0,"array([8.96240588, 7.34632358])"
307,401,0,"array([9.76142517, 9.01383168])"
308,402,0,"array([10.67928208,  8.089225  ])"
309,403,0,"array([10.86911527,  8.6221486 ])"
310,405,0,"array([10.06563674,  7.4710894 ])"
311,406,0,"array([9.11397222, 8.91057665])"
312,408,0,"array([6.25157476, 9.82614688])"
313,409,0,"array([ 9.82367759, 10.0426809 ])"
314,412,0,"array([11.35010715,  9.13590852])"
315,413,0,"array([8.80083427, 9.75219611])"
316,414,0,"array([8.7533442 , 7.91995893])"
317,415,0,"array([9.63209383, 7.89016222])"
318,416,0,"array([10.38234976,  9.55680572])"
319,418,0,"array([10.64669591,  9.6853745 ])"
320,419,0,"array([9.21606484, 6.96535019])"
321,420,0,"array([8.62231597, 4.74170231])"
322,421,0,"array([8.82276377, 8.33803172])"
323,422,0,"array([9.47893974, 9.6388232 ])"
324,423,0,"array([9.2638151 , 7.55863166])"
325,424,0,"array([10.1841033 ,  9.20208412])"
326,427,0,"array([12.34290921,  5.60347853])"
327,430,0,"array([5.78862217, 7.25236507])"
328,432,0,"array([12.95255105, 11.06516289])"
329,435,0,"array([8.50207447, 5.40427715])"
330,436,0,"array([7.96637558, 9.01006897])"
331,437,0,"array([9.49109525, 8.34706907])"
332,438,0,"array([9.25981324, 9.62424982])"
333,440,0,"array([ 9.39815382, 10.90519841])"
334,441,0,"array([10.92427655, 10.85992968])"
335,442,0,"array([6.89163477, 6.32089059])"
336,444,0,"array([10.55071638,  8.20851997])"
337,445,0,"array([13.49010527,  7.26135474])"
338,446,0,"array([8.01274385, 8.40035416])"
339,448,0,"array([9.80913173, 9.93812227])"
340,449,0,"array([10.31561978, 10.32562892])"
341,451,0,"array([10.09891944,  8.16864647])"
342,452,0,"array([10.40721807, 10.8511083 ])"
343,453,0,"array([12.63137119, 11.60289588])"
344,454,0,"array([10.42844668,  8.86311868])"
345,455,0,"array([8.6218647 , 8.38675616])"
346,457,0,"array([9.56565408, 9.03868506])"
347,458,0,"array([10.22883252,  8.66072521])"
348,459,0,"array([11.35300059,  8.78470404])"
349,461,0,"array([11.23986431, 11.25919384])"
350,462,0,"array([10.43756059,  9.78991519])"
351,464,0,"array([11.36928079,  4.99295448])"
352,465,0,"array([8.84156596, 8.60972131])"
353,466,0,"array([11.17443835,  9.09464316])"
354,468,0,"array([ 9.35147481, 10.19057834])"
355,469,0,"array([8.92318089, 7.2770257 ])"
356,470,0,"array([10.71964861, 12.58337449])"
357,471,0,"array([10.58233146,  8.43906873])"
358,472,0,"array([9.86118859, 8.34856225])"
359,473,0,"array([ 9.92452405, 12.60658667])"
360,474,0,"array([9.75145979, 7.66272203])"
361,475,0,"array([9.05927553, 3.00702852])"
362,476,0,"array([9.66517883, 8.62169237])"
363,477,0,"array([9.53159632, 8.16696022])"
364,479,0,"array([10.41882804,  7.92226977])"
365,480,0,"array([9.78883578, 6.63659521])"
366,481,0,"array([8.37879778, 9.47633202])"
367,482,0,"array([10.53139183,  8.10443507])"
368,484,0,"array([10.046348  ,  9.90402922])"
369,485,0,"array([9.7320801 , 8.25787541])"
370,486,0,"array([10.25260421,  8.35793763])"
371,488,0,"array([ 6.42281291, 10.58435305])"
372,489,0,"array([10.42154547,  8.76906621])"
373,490,0,"array([10.86813091,  9.14706762])"
374,491,0,"array([9.60660807, 9.86127649])"
375,492,0,"array([10.3030086 ,  8.06716793])"
376,494,0,"array([9.66737426, 7.12911391])"
377,495,0,"array([8.6516224 , 4.66567703])"
378,499,0,"array([11.8637356 ,  8.82250632])"
379,500,0,"array([8.94074783, 6.36861197])"
380,503,0,"array([8.94231472, 9.3005473 ])"
381,505,0,"array([9.90659381, 7.8500261 ])"
382,506,0,"array([8.16577758, 9.6164872 ])"
383,507,0,"array([10.30841709,  7.92883448])"
384,509,0,"array([9.26055576, 9.31397075])"
385,512,0,"array([9.90462036, 9.39205576])"
386,513,0,"array([10.10628397,  8.75973082])"
