# index, id, female, _pos
214,291,0,"array([  8.81399262, -14.71609211])"
215,292,0,"array([ 15.90480801, -10.56009164])"
216,294,0,"array([ 10.78481537, -13.24773694])"
217,295,0,"array([ 11.18852193, -13.03557496])"
218,297,0,"array([10.64501259, -8.51068865])"
219,299,0,"array([  9.77433646, -13.72020699])"
220,300,0,"array([  9.45973072, -12.36579462])"
221,301,0,"array([  9.63627439, -12.48874859])"
222,304,0,"array([ 7.14834477, -9.39451334])"
223,306,0,"array([  1.57097192, -11.90116691])"
224,308,0,"array([ 10.24843354, -12.56146769])"
225,310,0,"array([12.06413238, -5.9389459 ])"
226,311,0,"array([  4.19254538, -11.69503638])"
227,312,0,"array([ 13.55125701, -10.33157615])"
228,314,0,"array([ 14.41090013, -13.03445467])"
229,315,0,"array([  7.56235591, -13.85849062])"
230,317,0,"array([  7.93381151, -19.73344922])"
231,321,0,"array([  2.16795089, -15.31636178])"
232,322,0,"array([  2.33992128, -15.42670599])"
233,323,0,"array([ 15.45990334, -17.80117249])"
234,324,0,"array([  9.65606416, -13.32595768])"
235,325,0,"array([ 16.15681171, -10.33703671])"
236,326,0,"array([  4.14315517, -11.44513095])"
237,327,0,"array([ 16.87121333, -10.96920593])"
238,328,0,"array([  8.91457798, -19.13138309])"
239,330,0,"array([ 11.49514142, -10.42880595])"
240,331,0,"array([14.83450847, -7.8513758 ])"
241,333,0,"array([  9.67555593, -11.06110671])"
242,334,0,"array([ 16.41642193, -14.12656619])"
243,335,0,"array([  6.82079615, -16.86745467])"
244,337,0,"array([ 4.04986459, -7.71756941])"
245,339,0,"array([  1.33409015, -13.23973407])"
246,340,0,"array([ 2.58948407, -8.14805961])"
247,341,0,"array([  5.02144327, -17.92243746])"
248,342,0,"array([  9.9953813 , -12.05143443])"
249,343,0,"array([  5.67156118, -14.09207962])"
250,344,0,"array([  8.82928556, -13.37655295])"
251,345,0,"array([ 9.24181783, -8.84948321])"
252,346,0,"array([  3.68464247, -15.86352462])"
253,348,0,"array([  9.11567204, -12.57716147])"
254,350,0,"array([ 14.05297037, -16.87436925])"
255,351,0,"array([ 10.51127365, -14.57392501])"
256,352,0,"array([10.49963319, -7.74547035])"
257,354,0,"array([ 10.52713217, -11.75186533])"
258,355,0,"array([ 12.581415, -19.709223])"
259,356,0,"array([ 11.08847876, -16.20817976])"
260,357,0,"array([ 11.83797389, -12.41432973])"
261,358,0,"array([  8.70614778, -10.79299937])"
262,359,0,"array([  9.99480767, -15.13755817])"
263,360,0,"array([10.22868137, -7.64181571])"
264,362,0,"array([  3.51692263, -13.02650135])"
265,363,0,"array([ 6.28858566, -6.04900745])"
266,364,0,"array([12.80590404, -4.9938269 ])"
267,367,0,"array([ 10.89288717, -14.58448111])"
268,371,0,"array([  9.12806486, -10.76896429])"
