# source, target, timestamp, duration
83,323,1033472,35
83,323,1033655,4
83,323,1033697,0
83,323,1034493,4
83,72,1034544,123
83,72,1034731,123
83,323,1034737,19
83,323,1034784,6
83,323,1034933,40
83,323,1036070,7
83,323,1036169,5
83,323,1036360,0
83,323,1036439,0
83,72,1092668,19
83,72,1092856,18
84,302,202334,27
84,270,1736839,60
84,270,1741077,30
84,302,2204504,114
84,477,2239727,58
84,477,2239869,51
84,477,2240282,99
87,9,1081100,-1
88,440,1524190,35
88,440,1600785,19
88,440,2030574,33
88,330,2204586,27
89,58,2227484,193
89,58,2323371,4
91,133,482593,2
91,94,908080,3
91,79,1666158,46
91,235,1666239,0
91,94,1717389,154
91,79,1724264,0
91,94,1724271,34
91,79,1736399,4
92,228,591103,2
92,228,591383,13
92,228,591563,2
92,228,838747,40
92,228,921413,25
93,211,74623,2290
93,211,117460,26
93,211,2189181,-1
93,211,2189276,0
93,211,2378319,82
93,211,2378417,82
94,133,1022173,0
94,133,1022196,4
94,133,1025781,-1
95,378,2300735,3
96,158,136618,-1
96,158,385105,-1
96,518,1014183,150
96,158,1019098,49
97,322,1626835,3
97,415,1954841,17
98,207,513234,0
98,207,523723,0
98,529,525932,10
98,207,526143,0
98,344,1092723,0
98,344,1092754,61
99,219,744018,4
99,176,744029,12
99,505,1010736,32
99,505,1079172,36
99,505,1824291,102
99,505,2114522,106
99,50,2114643,0
99,219,2116362,-1
100,426,1098553,-1
101,102,217802,25
101,102,405625,0
101,102,503338,7
101,102,668982,81
101,102,752412,0
101,82,1101828,0
101,102,1114792,52
101,102,1141955,0
101,102,1686081,0
101,102,1687654,0
101,102,1719906,0
101,458,1881612,41
101,102,2115548,0
101,102,2222216,17
101,102,2224083,0
101,102,2235269,5138
101,102,2240445,11
101,102,2240906,3022
101,102,2322376,0
102,101,217855,134
102,101,752488,12
102,321,1269718,-1
102,321,1269860,-1
102,321,1270369,-1
102,321,1270980,-1
102,321,1271179,-1
102,101,1531624,12
102,101,1686716,13
102,101,1687703,50
102,101,1687848,15
102,101,1719595,12
102,101,2221271,65
102,101,2222062,-1
102,101,2224044,18
102,101,2224083,1272
102,101,2244800,43
103,386,58643,743
103,386,58753,743
103,386,661758,3
103,386,669117,54
103,386,669246,55
103,471,1328111,38
104,532,217712,2
104,532,217913,2
104,532,217943,0
104,170,1712770,15
104,170,1712984,15
104,532,1794402,2
104,532,1794538,2
104,532,1815593,30
105,73,820863,61
107,225,548306,0
107,225,569750,21
107,225,1178698,4
107,225,1178813,3
108,399,752820,26
108,399,755470,8
108,399,930059,43
108,399,932881,6
108,399,1017421,210
108,399,1073014,0
108,399,1086639,173
108,399,1357520,56
108,399,1444722,26
108,399,1462908,0
108,399,1464061,0
108,219,1484512,4
108,399,1511706,0
108,399,1512324,87
108,399,1542800,23
108,399,1543094,0
108,399,1606350,0
108,399,1606714,0
108,399,1608120,0
108,399,1678253,0
108,2,1688287,17
108,399,1962999,0
108,399,1969209,0
108,399,1969725,0
108,399,1970926,0
109,110,301752,83
109,110,318167,-1
109,110,318189,0
109,110,318255,-1
109,110,320040,995
109,110,730806,18
109,110,1255143,887
109,110,1886047,1032
110,109,318581,1440
110,429,1120738,4
110,109,1172062,-1
110,109,1173859,2
110,109,1250570,-1
110,109,1250824,-1
110,109,1251385,-1
110,134,1964418,170
111,349,387751,2
111,349,590703,2
111,349,596635,46
111,349,598233,51
111,349,598918,20
111,349,1020139,54
111,349,1690369,111
111,349,1693765,103
111,349,1783939,38
111,349,1784473,58
111,349,1784979,9
111,349,1796305,25
111,349,1942776,27
112,262,1158222,-1
112,318,1359587,25
112,318,1380187,-1
112,318,1380301,-1
113,50,572113,5
113,50,572120,0
113,50,583205,0
113,241,1769634,0
114,292,48972,110
114,292,145295,0
114,292,475140,0
114,292,475228,6
114,292,475282,24
114,482,496244,27
114,292,674305,9
114,292,750207,27
114,292,750626,6
114,292,1355330,49
114,292,1514260,45
114,292,1929945,16
114,292,1930118,2
114,292,1930134,5
114,292,2294659,7
115,430,1542271,5
115,430,1542286,5
115,430,1599704,0
116,254,1707886,3
117,372,828259,17
117,510,828276,2
117,510,836869,16
117,510,1525984,0
117,510,1771829,81
118,482,910165,55
118,70,927210,228
118,70,1512357,0
118,482,1514226,101
118,482,1705564,143
118,482,2309894,86
118,482,2316356,5
123,222,728819,11
124,125,1281836,15
124,513,1436560,0
124,513,1437087,0
125,202,577176,4
125,202,577323,15
125,202,580367,24
125,124,772331,32
125,202,842645,0
125,202,1011728,5
125,202,1511368,5
125,124,2133712,18
126,304,148269,-1
126,304,148551,2
126,304,1101870,-1
127,211,1779238,10
127,211,1779302,-1
127,211,1779924,42
127,211,1779985,42
127,211,1782343,8
127,211,1782406,-1
127,289,2408498,157
127,289,2409335,7
127,289,2409348,286
127,289,2410437,244
127,289,2410946,71
127,289,2411108,20
128,533,2201920,0
129,35,133493,111
129,35,812917,1
129,35,813001,2
129,158,1525305,114
129,158,1530413,19
130,448,65147,659
130,448,207005,3
130,71,766237,209
130,71,1615576,22
130,71,1683623,79
130,71,1686693,4
131,400,427591,340
131,400,431083,340
131,441,1065619,83
131,328,1182954,88
131,328,2034010,144
131,400,2293896,117
132,493,1110797,20
133,91,485664,26
133,91,489241,26
133,94,1534721,0
134,521,1012861,40
134,409,1080414,125
134,105,1117884,6
134,409,1119123,50
134,409,1530640,2
134,409,1530697,1
134,409,2058285,156
134,409,2116764,48
134,409,2381068,71
135,75,569453,21
135,75,2049848,13
136,482,1440545,-1
136,478,1512397,-1
136,478,1512429,3
136,201,1687037,51
137,530,826519,70
137,146,1675210,-1
137,146,1680031,36
137,530,2033987,0
137,344,2304604,25
137,138,2327062,19
138,439,1609843,0
139,480,1328857,2
140,159,123832,20
140,159,124174,142
140,159,130012,60
140,159,131066,4
140,159,131076,2
140,159,295753,44
140,259,299943,3
140,259,394394,38
140,259,1007345,3
140,259,1525556,-1
140,259,1726694,21
140,159,1970242,0
141,221,1091570,59
141,38,1458826,6
141,50,1513693,0
143,269,217212,22
143,289,919240,28
143,289,996457,8
143,269,1167653,214
143,146,1594873,27
143,269,1596013,32
143,269,1780894,60
143,211,1801222,-1
143,211,1801311,0
143,78,1801381,0
143,289,1801507,22
143,289,1801557,0
143,289,1801562,39
143,248,2049500,2
145,154,743889,0
146,137,1679441,0
147,216,215962,19
147,216,405772,51
149,171,1091168,149
149,171,2221337,194
149,171,2222274,66
149,171,2225395,26
151,500,1455304,2
151,500,1455334,2
152,58,518097,9
152,258,942453,0
153,489,553471,84
153,489,725073,46
153,489,1187798,49
153,489,2407913,12
154,145,1087051,41
155,45,382141,54
156,307,288852,3
156,307,1601617,-1
157,399,398151,24
157,399,398939,9
157,399,402460,0
157,475,430727,2
157,475,430818,43
157,475,719904,4
157,399,724501,0
157,503,1122957,2
157,503,1445838,33
157,503,1515234,4
157,503,1803506,2
157,503,1868946,3
157,503,1869164,2
157,503,1869470,2
157,399,1882394,24
157,475,2056088,0
157,503,2202897,25
157,399,2212867,12
157,475,2303037,24
158,348,128286,2
158,348,129439,264
158,0,144260,19
158,348,652392,0
158,0,1613335,2
158,348,1966817,66
158,348,2223462,92
158,442,2225538,3
159,140,131169,26
159,140,1809622,38
159,340,1960265,0
159,340,2128326,45
160,503,1456261,9
161,287,379393,1
161,287,1619176,25
162,308,302225,44
162,308,662096,14
162,308,662139,72
162,308,662294,25
164,289,1805127,10
165,277,64495,3
165,277,753421,13
165,277,999652,91
165,277,2297051,98
165,277,2415585,48
167,263,840049,24
167,263,1861447,35
167,256,1930081,2
167,271,1935055,144
167,256,1935243,51
167,271,2304538,0
167,62,2370271,61
168,38,140554,5
168,38,140671,-1
168,2,219286,82
168,2,219412,82
168,234,453838,2
168,234,453868,2
168,234,453902,2
168,234,453990,-1
168,234,454023,-1
168,234,454395,2
168,234,454515,-1
168,234,455049,2
168,234,455168,-1
168,234,455583,2
168,234,455701,-1
168,234,456201,3
168,234,456320,-1
168,234,456620,9
168,234,456739,-1
168,234,457183,4
168,234,457302,-1
168,81,590533,0
168,81,590652,-1
168,195,647013,39
168,38,765910,138
168,2,992986,17
168,253,1011791,65
168,471,1011913,53
168,220,1012328,50
168,276,1012472,-1
168,250,1012528,3
168,250,1012742,70
168,276,1012909,-1
168,197,1012963,4
168,11,1012992,88
168,276,1014072,-1
168,75,1014196,40
168,504,1014275,60
168,276,1014360,-1
168,276,1014729,-1
168,2,1014758,70
168,270,1014858,60
168,276,1015148,-1
168,276,1016204,-1
168,276,1016611,-1
168,41,1016926,92
168,422,1018298,32
168,2,1088181,5
168,2,1257316,24
168,2,1258782,28
168,56,1546328,76
168,56,1546388,76
168,270,2302997,47
168,270,2304719,22
169,333,48457,9
169,333,48684,2
169,333,48810,201
169,333,760211,88
171,407,37760,5
171,244,142767,-1
171,244,234637,-1
171,244,921381,59
171,310,1088645,0
171,149,1090785,4
171,407,1336192,0
171,407,1339069,0
171,407,1371106,0
171,407,1539991,0
171,244,1702640,2
171,149,1783489,38
171,244,1790158,0
171,244,1803471,2
171,310,1863467,42
171,310,1863601,42
171,244,1885846,68
171,244,1895311,0
171,368,2213182,4
171,244,2219110,166
171,407,2220030,112
171,149,2221070,0
171,149,2221999,2
171,407,2377583,444
171,149,2400379,18
172,132,941300,0
172,132,941843,0
172,132,942224,0
172,310,1006162,0
172,132,1334536,99
174,452,151385,63
174,518,1010739,0
174,518,1010997,16
174,452,1032727,93
