# index, id, female, _pos
237,242,0,"array([16.77334619, 21.09833043])"
238,243,0,"array([16.73385576, 21.05635756])"
239,244,0,"array([16.74248562, 21.05968727])"
240,245,0,"array([16.72126323, 21.25047853])"
241,246,0,"array([16.70875346, 21.12068106])"
242,247,0,"array([16.69066928, 21.05850017])"
243,248,0,"array([16.6750289 , 21.11695664])"
244,249,0,"array([16.76166282, 21.09177766])"
245,250,0,"array([16.7279148 , 21.05944547])"
246,251,0,"array([16.67556333, 21.12434912])"
247,252,0,"array([16.68386972, 21.08947447])"
248,253,0,"array([16.71111844, 21.06740905])"
249,254,0,"array([16.72312758, 21.08873973])"
250,255,0,"array([16.71942681, 21.22233642])"
251,256,0,"array([16.78804774, 21.09517684])"
252,257,0,"array([16.69464668, 21.10937717])"
253,258,0,"array([16.74655458, 21.02615905])"
254,259,0,"array([16.76515006, 21.0746534 ])"
255,260,0,"array([16.71017717, 21.07595324])"
256,261,0,"array([16.7002659 , 21.04427634])"
257,262,0,"array([16.72721052, 21.0828159 ])"
258,263,0,"array([16.73122542, 21.08821474])"
259,264,0,"array([16.73726138, 21.0428227 ])"
260,265,0,"array([16.7261713 , 21.10827916])"
261,266,0,"array([16.73384046, 21.1280508 ])"
262,267,0,"array([16.69637395, 21.07641122])"
263,268,0,"array([16.72107507, 21.09310776])"
264,269,0,"array([16.69718502, 21.06333389])"
265,270,0,"array([16.78325828, 21.19245123])"
266,271,0,"array([16.77475469, 21.12163428])"
267,272,0,"array([16.75517797, 21.10354527])"
268,273,0,"array([16.7043587 , 21.10119816])"
269,274,0,"array([16.73055101, 21.11282355])"
270,275,0,"array([16.77556475, 21.06602962])"
271,276,0,"array([16.753272  , 21.10039933])"
272,277,0,"array([16.67138616, 21.11345853])"
273,278,0,"array([16.74401257, 21.06487579])"
274,279,0,"array([16.71242486, 21.11510777])"
275,280,0,"array([16.71911363, 21.07496911])"
276,281,0,"array([16.71354323, 21.11846064])"
277,282,0,"array([16.7022606 , 21.11408897])"
278,283,0,"array([16.71321756, 21.08697003])"
279,284,0,"array([16.7668169 , 21.06357883])"
280,285,0,"array([16.73059417, 21.05082783])"
281,286,0,"array([16.74767386, 21.07687048])"
282,287,0,"array([16.74972625, 21.12336762])"
283,288,0,"array([16.76868434, 21.07759724])"
284,289,0,"array([16.74724398, 21.11018469])"
285,290,0,"array([16.71395436, 21.09959732])"
286,291,0,"array([16.75055827, 21.11374025])"
287,292,0,"array([16.72870862, 21.04460367])"
288,293,0,"array([16.66487415, 21.07354728])"
289,294,0,"array([16.73045351, 21.07701716])"
290,295,0,"array([16.69408748, 21.08297536])"
291,296,0,"array([16.76927407, 21.12558646])"
292,297,0,"array([16.71552627, 21.09006571])"
293,298,0,"array([16.72474783, 21.14804157])"
294,299,0,"array([16.72842245, 21.11440933])"
295,300,0,"array([16.76499858, 21.10245746])"
296,301,0,"array([16.7532623, 21.0952841])"
297,302,0,"array([16.7620045, 21.0402539])"
298,303,0,"array([16.6707656 , 21.06490941])"
299,304,0,"array([16.76410311, 21.05445344])"
300,306,0,"array([16.72231735, 21.1049225 ])"
301,307,0,"array([16.67576671, 21.10615376])"
302,308,0,"array([16.74991161, 21.11849299])"
303,309,0,"array([16.73132961, 21.04795629])"
304,310,0,"array([16.72106073, 21.11160707])"
305,311,0,"array([16.73224545, 21.10194787])"
306,312,0,"array([16.71440524, 21.16706044])"
307,313,0,"array([17.00877931, 21.30617768])"
308,314,0,"array([16.68156998, 21.086157  ])"
309,315,0,"array([16.7755936 , 21.11824053])"
310,317,0,"array([16.75912482, 21.03599512])"
311,318,0,"array([16.72139705, 21.05355297])"
312,319,0,"array([16.72726856, 21.02580903])"
313,320,0,"array([16.58673663, 20.91643669])"
314,321,0,"array([16.75837739, 21.01619848])"
315,322,0,"array([16.75101986, 21.02714827])"
316,323,0,"array([16.74496082, 21.13642306])"
317,324,0,"array([16.73622558, 21.09066524])"
318,325,0,"array([16.7237359, 21.060788 ])"
319,326,0,"array([16.71842302, 21.13058698])"
320,327,0,"array([16.73680988, 21.0329057 ])"
321,328,0,"array([16.7258531 , 21.01925952])"
322,329,0,"array([16.75515861, 21.15781042])"
323,330,0,"array([16.75405374, 21.1142781 ])"
324,331,0,"array([16.6941764 , 21.11853513])"
325,332,0,"array([16.65247993, 21.0102658 ])"
326,334,0,"array([16.71693413, 21.11109029])"
327,335,0,"array([16.74748085, 21.07459724])"
328,336,0,"array([16.76875885, 21.0740712 ])"
329,337,0,"array([16.66438768, 21.02664423])"
330,338,0,"array([16.73815578, 21.11379786])"
331,339,0,"array([16.7648017 , 21.07833147])"
332,340,0,"array([16.78742673, 21.08641091])"
333,341,0,"array([16.67862176, 21.10045654])"
334,342,0,"array([16.75324332, 21.080923  ])"
335,343,0,"array([16.67463198, 21.10023002])"
336,344,0,"array([16.72775851, 21.11827819])"
337,345,0,"array([16.727962  , 21.04875431])"
338,346,0,"array([16.53023973, 21.25216062])"
339,347,0,"array([16.68679221, 21.22821135])"
340,348,0,"array([16.74328525, 21.13019405])"
341,349,0,"array([16.75224951, 21.05332403])"
342,350,0,"array([16.74111631, 21.05452827])"
343,351,0,"array([16.78280904, 21.08168697])"
344,352,0,"array([16.69026717, 21.07295896])"
345,353,0,"array([16.73263732, 21.1240743 ])"
346,354,0,"array([16.69963813, 21.0509733 ])"
347,355,0,"array([16.7680823 , 21.13039577])"
348,356,0,"array([16.7292386 , 21.05519156])"
349,357,0,"array([16.72429831, 21.08606015])"
350,358,0,"array([16.73292531, 21.0842888 ])"
351,359,0,"array([16.75724998, 21.07743655])"
352,360,0,"array([16.69922548, 21.05503018])"
353,361,0,"array([16.77337036, 21.04179038])"
354,362,0,"array([16.73926758, 21.01028161])"
355,363,0,"array([16.7097174 , 21.07946479])"
356,364,0,"array([16.71497965, 21.07666398])"
357,365,0,"array([16.76329623, 21.08769068])"
358,366,0,"array([16.74864531, 21.09575492])"
359,367,0,"array([16.78367354, 21.07462813])"
360,368,0,"array([16.72018391, 21.10898611])"
361,369,0,"array([16.7119644 , 21.12943041])"
362,370,0,"array([16.77802254, 21.09578393])"
363,371,0,"array([16.7343502 , 21.07953475])"
364,372,0,"array([16.74115774, 21.07673061])"
365,373,0,"array([16.74929987, 21.09921456])"
366,374,0,"array([16.69603606, 21.07260737])"
367,375,0,"array([16.69847746, 21.06697526])"
368,376,0,"array([16.72876391, 21.1011662 ])"
369,377,0,"array([16.78192202, 21.12972144])"
370,378,0,"array([16.7203992 , 21.09701565])"
371,379,0,"array([16.77950044, 21.07335202])"
372,380,0,"array([16.72522908, 21.04015536])"
373,381,0,"array([16.7189636 , 21.14722313])"
374,382,0,"array([16.68857304, 21.07862949])"
375,383,0,"array([16.75915472, 21.1120568 ])"
376,384,0,"array([16.73644252, 21.05947457])"
377,385,0,"array([16.79444703, 21.0794343 ])"
378,386,0,"array([16.70254618, 21.09526272])"
379,387,0,"array([16.44148096, 21.08909962])"
380,388,0,"array([16.74021465, 21.12769768])"
381,389,0,"array([16.75665346, 21.08148557])"
382,390,0,"array([16.72054309, 21.08618996])"
383,391,0,"array([16.70733844, 21.1327045 ])"
384,392,0,"array([16.76978534, 21.14592865])"
385,393,0,"array([16.58823242, 21.04066741])"
386,394,0,"array([16.70523919, 21.091176  ])"
387,395,0,"array([16.74511524, 21.12595326])"
388,396,0,"array([16.71624038, 21.06091937])"
389,397,0,"array([16.7156769 , 21.10329048])"
390,399,0,"array([16.74762323, 21.0596602 ])"
391,400,0,"array([16.78315898, 21.12083582])"
392,401,0,"array([16.74865339, 21.08141186])"
393,402,0,"array([16.6879069, 21.0821713])"
394,403,0,"array([16.69316588, 21.09255561])"
395,404,0,"array([16.76169243, 21.10853409])"
396,405,0,"array([16.7619431 , 21.09982669])"
397,406,0,"array([16.77386261, 21.09221771])"
398,407,0,"array([16.70965571, 21.10833126])"
399,408,0,"array([16.68865586, 21.09647019])"
400,409,0,"array([16.74752039, 21.03405202])"
401,410,0,"array([16.57676996, 20.96733196])"
402,411,0,"array([16.7681998 , 21.05588103])"
403,412,0,"array([16.70734107, 21.07834376])"
404,413,0,"array([16.68077097, 21.10446683])"
405,414,0,"array([16.76057888, 21.08069412])"
406,415,0,"array([16.75110719, 21.10822917])"
407,416,0,"array([16.73273101, 21.11667203])"
408,417,0,"array([16.60957841, 21.31968205])"
409,418,0,"array([16.76053788, 21.08780354])"
410,419,0,"array([16.69994487, 21.02588968])"
411,420,0,"array([16.75423867, 21.00578695])"
412,421,0,"array([16.74085005, 21.07959743])"
413,422,0,"array([16.74705472, 21.09119521])"
414,423,0,"array([16.75598124, 21.05295845])"
415,424,0,"array([16.73116288, 21.09915984])"
416,425,0,"array([16.69012972, 21.1004258 ])"
417,426,0,"array([16.77500576, 21.21689109])"
418,427,0,"array([16.72661196, 21.05192264])"
419,428,0,"array([16.71594513, 21.05094717])"
420,429,0,"array([16.79218439, 21.07458116])"
421,430,0,"array([16.71642398, 21.03070274])"
422,431,0,"array([16.77861806, 21.06816181])"
423,432,0,"array([16.70233677, 21.06325127])"
424,433,0,"array([16.7324152 , 21.02840739])"
425,434,0,"array([16.70518497, 21.12669231])"
426,435,0,"array([16.73037696, 21.0344387 ])"
427,436,0,"array([16.68885051, 21.12103912])"
428,437,0,"array([16.73392118, 21.06850432])"
429,438,0,"array([16.76522172, 21.10913179])"
430,439,0,"array([16.68872325, 21.11647484])"
431,440,0,"array([16.77643999, 21.10760331])"
432,441,0,"array([16.70770013, 21.09028862])"
433,442,0,"array([16.69610481, 21.13822819])"
